"repository","url","name","owner","description","language","license_spdx_id","license_name","license_osi_approved","stars","issues","created_at","updated_at","first_commit_at","last_commit_at","activity_months","ai_ml_match_topics","has_pre_gdpr_activity","has_post_gdpr_activity"
"shimat/opencvsharp","https://github.com/shimat/opencvsharp","opencvsharp","shimat","OpenCV wrapper for .NET","C#","Apache-2.0","Apache License 2.0","true",6081,1400,"12/21/13 0:27","9/2/26 0:09","12/21/13 0:27","8/24/26 1:37",152.07,"machine-learning","true","true"
"snorkel-team/snorkel","https://github.com/snorkel-team/snorkel","snorkel","snorkel-team","A system for quickly generating training data with weak supervision","Python","Apache-2.0","Apache License 2.0","true",6005,982,"2/26/16 5:52","8/31/26 22:14","2/26/16 8:22","4/10/26 17:37",121.42,"machine-learning","true","true"
"keras-rl/keras-rl","https://github.com/keras-rl/keras-rl","keras-rl","keras-rl","Deep Reinforcement Learning for Keras.","Python","MIT","MIT License","true",5547,241,"7/2/16 15:53","8/17/26 20:45","7/2/16 15:28","11/11/19 22:14",40.31,"machine-learning","true","true"
"apple/coremltools","https://github.com/apple/coremltools","coremltools","apple","Core ML tools contain supporting tools for Core ML model conversion, editing, and validation.","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",5411,1622,"6/30/17 7:39","9/2/26 12:28","6/30/17 7:39","8/27/26 17:47",109.89,"machine-learning","true","true"
"lyst/lightfm","https://github.com/lyst/lightfm","lightfm","lyst","A Python implementation of LightFM, a hybrid recommendation algorithm.","Python","Apache-2.0","Apache License 2.0","true",5111,510,"7/30/15 8:33","9/2/26 10:32","7/30/15 10:14","4/30/23 18:36",93,"machine-learning","true","true"
"openvenues/libpostal","https://github.com/openvenues/libpostal","libpostal","openvenues","A C library for parsing/normalizing street addresses around the world. Powered by statistical NLP and open geo data.","C","MIT","MIT License","true",4880,507,"3/3/15 0:21","9/2/26 21:54","3/3/15 0:21","12/6/25 19:06",129.14,"machine-learning","true","true"
"rust-ml/linfa","https://github.com/rust-ml/linfa","linfa","rust-ml","A Rust machine learning framework.","Rust","Apache-2.0","Apache License 2.0","true",4742,183,"4/5/18 7:03","9/2/26 11:44","4/5/18 7:03","8/22/26 21:42",100.56,"machine-learning","true","true"
"DistrictDataLabs/yellowbrick","https://github.com/DistrictDataLabs/yellowbrick","yellowbrick","DistrictDataLabs","Visual analysis and diagnostic tools to facilitate machine learning model selection.","Python","Apache-2.0","Apache License 2.0","true",4399,702,"5/18/16 14:12","8/28/26 0:04","5/18/16 14:12","7/5/23 18:14",85.55,"machine-learning","true","true"
"IDSIA/sacred","https://github.com/IDSIA/sacred","sacred","IDSIA","Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.","Python","MIT","MIT License","true",4376,563,"3/31/14 18:05","8/31/26 22:51","3/31/14 18:04","10/22/25 8:04",138.7,"machine-learning","true","true"
"kubeflow/pipelines","https://github.com/kubeflow/pipelines","pipelines","kubeflow","Machine Learning Pipelines for Kubeflow","Python","Apache-2.0","Apache License 2.0","true",4201,4472,"5/12/18 0:31","9/2/26 18:27","5/12/18 0:31","9/2/26 18:27",99.7,"machine-learning","true","true"
"snipsco/snips-nlu","https://github.com/snipsco/snips-nlu","snips-nlu","snipsco","Snips Python library to extract meaning from text","Python","Apache-2.0","Apache License 2.0","true",3974,263,"2/8/17 16:16","8/30/26 7:54","2/8/17 16:52","5/3/21 12:18",50.72,"machine-learning","true","true"
"arXivTimes/arXivTimes","https://github.com/arXivTimes/arXivTimes","arXivTimes","arXivTimes","repository to research & share the machine learning articles","","MIT","MIT License","true",3901,2103,"10/26/16 5:27","8/28/26 8:35","10/26/16 5:27","7/1/22 13:15",68.13,"machine-learning","true","true"
"yahoo/TensorFlowOnSpark","https://github.com/yahoo/TensorFlowOnSpark","TensorFlowOnSpark","yahoo","TensorFlowOnSpark brings TensorFlow programs to Apache Spark clusters.","Python","Apache-2.0","Apache License 2.0","true",3845,369,"1/20/17 18:15","8/14/26 12:05","1/27/17 21:22","4/27/23 20:08",74.9,"machine-learning","true","true"
"benfred/implicit","https://github.com/benfred/implicit","implicit","benfred","Fast Python Collaborative Filtering for Implicit Feedback Datasets","Python","MIT","MIT License","true",3817,505,"4/17/16 3:45","9/1/26 8:59","4/17/16 3:45","5/8/26 18:23",120.66,"machine-learning","true","true"
"jtablesaw/tablesaw","https://github.com/jtablesaw/tablesaw","tablesaw","jtablesaw","Java dataframe and visualization library","Java","Apache-2.0","Apache License 2.0","true",3764,737,"1/1/16 14:58","9/1/26 3:42","12/13/15 18:59","3/2/26 1:12",122.57,"machine-learning","true","true"
"jmschrei/pomegranate","https://github.com/jmschrei/pomegranate","pomegranate","jmschrei","Fast, flexible and easy to use probabilistic modelling in Python.","Python","MIT","MIT License","true",3543,801,"11/24/14 18:36","8/27/26 13:42","11/24/14 8:03","2/7/25 18:03",122.47,"machine-learning","true","true"
"tensorflow/hub","https://github.com/tensorflow/hub","hub","tensorflow","A library for transfer learning by reusing parts of TensorFlow models.","Python","Apache-2.0","Apache License 2.0","true",3526,717,"3/12/18 7:55","9/2/26 18:19","3/14/18 10:32","1/17/25 12:09",82.16,"machine-learning","true","true"
"mne-tools/mne-python","https://github.com/mne-tools/mne-python","mne-python","mne-tools","MNE: Magnetoencephalography (MEG) and Electroencephalography (EEG) in Python","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",3501,5191,"1/28/11 3:31","9/2/26 16:24","12/27/10 0:43","9/2/26 16:16",188.17,"machine-learning","true","true"
"tslearn-team/tslearn","https://github.com/tslearn-team/tslearn","tslearn","tslearn-team","The machine learning toolkit for time series analysis in Python","Python","BSD-2-Clause","BSD 2-Clause ""Simplified"" License","true",3174,348,"5/4/17 13:08","9/1/26 7:47","5/3/17 15:43","9/1/26 7:43",111.93,"machine-learning","true","true"
"scikit-learn-contrib/hdbscan","https://github.com/scikit-learn-contrib/hdbscan","hdbscan","scikit-learn-contrib","A high performance implementation of HDBSCAN clustering.","Jupyter Notebook","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",3139,535,"4/22/15 13:32","9/1/26 2:45","4/22/15 13:32","6/12/26 16:59",133.67,"machine-learning","true","true"
"aksnzhy/xlearn","https://github.com/aksnzhy/xlearn","xlearn","aksnzhy","High performance, easy-to-use, and scalable machine learning (ML) package, including linear model (LR), factorization machines (FM), and field-aware factorization machines (FFM) for Python and CLI interface.","C++","Apache-2.0","Apache License 2.0","true",3089,301,"6/10/17 8:09","9/2/26 9:11","6/10/17 8:09","6/5/22 10:44",59.82,"machine-learning","true","true"
"heavyai/heavydb","https://github.com/heavyai/heavydb","heavydb","heavyai","HeavyDB (formerly MapD/OmniSciDB)","C++","Apache-2.0","Apache License 2.0","true",3059,549,"5/7/17 15:07","9/1/26 16:15","6/18/14 11:33","9/1/26 16:03",146.45,"machine-learning","true","true"
"weld-project/weld","https://github.com/weld-project/weld","weld","weld-project","High-performance runtime for data analytics applications","Rust","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",3006,170,"6/13/16 5:00","8/24/26 7:42","6/13/16 5:01","4/4/20 20:50",45.7,"machine-learning","true","true"
"keithito/tacotron","https://github.com/keithito/tacotron","tacotron","keithito","A TensorFlow implementation of Google's Tacotron speech synthesis with pre-trained model (unofficial)","Python","MIT","MIT License","true",2995,323,"7/8/17 17:03","8/25/26 10:58","7/8/17 17:03","2/3/20 0:26",30.85,"machine-learning","true","true"
"hosseinmoein/DataFrame","https://github.com/hosseinmoein/DataFrame","DataFrame","hosseinmoein","C++ DataFrame for statistical, financial, and ML analysis in modern C++","C++","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",2980,244,"10/28/17 17:25","9/2/26 8:55","10/28/17 17:25","9/1/26 18:50",106.11,"machine-learning","true","true"
"bethgelab/foolbox","https://github.com/bethgelab/foolbox","foolbox","bethgelab","A Python toolbox to create adversarial examples that fool neural networks in PyTorch, TensorFlow, and JAX","Python","MIT","MIT License","true",2972,373,"6/14/17 13:05","8/17/26 6:31","6/4/17 21:18","3/4/24 15:46",80.95,"machine-learning","true","true"
"Cartucho/mAP","https://github.com/Cartucho/mAP","mAP","Cartucho","mean Average Precision - This code evaluates the performance of your neural net for object recognition.","Python","Apache-2.0","Apache License 2.0","true",2966,158,"3/8/18 11:24","8/20/26 13:50","3/8/18 11:53","5/29/20 10:47",26.68,"machine-learning","true","true"
"pytorch/audio","https://github.com/pytorch/audio","audio","pytorch","Data manipulation and transformation for audio signal processing, powered by PyTorch","Python","BSD-2-Clause","BSD 2-Clause ""Simplified"" License","true",2933,1006,"5/5/17 0:38","9/2/26 14:28","5/5/17 0:37","9/2/26 14:16",111.93,"machine-learning","true","true"
"huggingface/neuralcoref","https://github.com/huggingface/neuralcoref","neuralcoref","huggingface","✨Fast Coreference Resolution in spaCy with Neural Networks","C","MIT","MIT License","true",2892,313,"7/3/17 13:04","8/18/26 1:16","7/7/17 15:20","6/22/21 10:51",47.47,"machine-learning","true","true"
"PythonOT/POT","https://github.com/PythonOT/POT","POT","PythonOT","POT : Python Optimal Transport","Python","MIT","MIT License","true",2842,288,"10/20/16 14:42","9/2/26 8:54","10/20/16 14:42","8/28/26 12:21",118.2,"machine-learning","true","true"
"TeamHG-Memex/eli5","https://github.com/TeamHG-Memex/eli5","eli5","TeamHG-Memex","A library for debugging/inspecting machine learning classifiers and explaining their predictions","Jupyter Notebook","MIT","MIT License","true",2817,261,"9/15/16 1:04","9/2/26 15:36","9/15/16 1:04","4/8/26 21:01",114.72,"machine-learning","true","true"
