"repository","url","name","owner","description","language","license_spdx_id","license_name","license_osi_approved","stars","issues","created_at","updated_at","first_commit_at","last_commit_at","activity_months","ai_ml_match_topics","has_pre_gdpr_activity","has_post_gdpr_activity"
"ARM-software/armnn","https://github.com/ARM-software/armnn","armnn","ARM-software","Arm NN ML Software.","C++","MIT","MIT License","true",1315,769,"3/9/18 12:11","8/28/26 1:54","3/9/18 14:13","7/2/26 11:24",99.74,"machine-learning","true","true"
"jfkirk/tensorrec","https://github.com/jfkirk/tensorrec","tensorrec","jfkirk","A TensorFlow recommendation algorithm and framework in Python.","Python","Apache-2.0","Apache License 2.0","true",1299,126,"2/28/17 18:51","8/17/26 16:21","2/28/17 18:51","2/4/20 21:10",35.18,"machine-learning","true","true"
"FenTechSolutions/CausalDiscoveryToolbox","https://github.com/FenTechSolutions/CausalDiscoveryToolbox","CausalDiscoveryToolbox","FenTechSolutions","Package for causal inference in graphs and in the pairwise settings. Tools for graph structure recovery and dependencies are included.","Python","MIT","MIT License","true",1237,148,"5/31/17 9:12","8/29/26 9:38","5/31/17 9:18","10/13/25 7:40",100.39,"machine-learning","true","true"
"stereolabs/zed-sdk","https://github.com/stereolabs/zed-sdk","zed-sdk","stereolabs","⚡️The spatial perception framework for rapidly building smart robots and spaces","C++","MIT","MIT License","true",1228,689,"4/5/17 10:02","9/2/26 11:19","4/5/17 10:02","6/18/26 14:14",110.41,"machine-learning","true","true"
"python-adaptive/adaptive","https://github.com/python-adaptive/adaptive","adaptive","python-adaptive",":chart_with_upwards_trend: Adaptive: parallel active learning of mathematical functions","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",1227,239,"12/10/17 1:47","8/26/26 6:03","1/30/17 12:39","6/10/26 22:48",112.29,"machine-learning","true","true"
"annoviko/pyclustering","https://github.com/annoviko/pyclustering","pyclustering","annoviko","pyclustering is a Python, C++ data mining library.","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",1216,663,"2/25/14 18:59","9/2/26 10:00","2/25/14 19:08","2/8/24 16:58",119.38,"machine-learning","true","true"
"onnx/onnxmltools","https://github.com/onnx/onnxmltools","onnxmltools","onnx","ONNXMLTools enables conversion of models to ONNX","Python","Apache-2.0","Apache License 2.0","true",1170,314,"2/16/18 20:37","8/26/26 8:23","2/16/18 20:37","6/23/26 7:23",100.13,"machine-learning","true","true"
"grf-labs/grf","https://github.com/grf-labs/grf","grf","grf-labs","Generalized Random Forests ","C++","GPL-3.0","GNU General Public License v3.0","true",1107,552,"8/12/16 13:17","8/29/26 13:25","7/28/14 9:48","4/30/26 18:40",141.06,"machine-learning","true","true"
"emedvedev/attention-ocr","https://github.com/emedvedev/attention-ocr","attention-ocr","emedvedev","A Tensorflow model for text recognition (CNN + seq2seq with visual attention) available as a Python package and compatible with Google Cloud ML Engine.","Python","MIT","MIT License","true",1086,153,"7/21/17 18:35","5/20/26 9:59","6/9/16 0:16","10/20/23 17:48",88.34,"machine-learning","true","true"
"J535D165/recordlinkage","https://github.com/J535D165/recordlinkage","recordlinkage","J535D165","A powerful and modular toolkit for record linkage and duplicate detection in Python","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",1062,138,"10/18/15 9:00","8/28/26 15:39","10/18/15 8:58","7/20/23 12:59",93.04,"machine-learning","true","true"
"lhelontra/tensorflow-on-arm","https://github.com/lhelontra/tensorflow-on-arm","tensorflow-on-arm","lhelontra","TensorFlow for Arm","Shell","MIT","MIT License","true",1052,102,"8/1/17 21:01","8/23/26 2:47","8/1/17 21:04","12/21/20 4:49",40.64,"machine-learning","true","true"
"NeuroTechX/moabb","https://github.com/NeuroTechX/moabb","moabb","NeuroTechX","Mother of All BCI Benchmarks","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",1049,511,"5/15/17 15:01","9/1/26 20:00","5/15/17 14:58","8/31/26 21:37",111.53,"machine-learning","true","true"
"NaturalIntelligence/imglab","https://github.com/NaturalIntelligence/imglab","imglab","NaturalIntelligence","To speedup and simplify image labeling/ annotation process with multiple supported formats.","HTML","MIT","MIT License","true",1021,118,"10/25/17 12:28","8/31/26 7:00","10/25/17 12:28","8/18/26 10:39",105.72,"machine-learning","true","true"
"dswah/pyGAM","https://github.com/dswah/pyGAM","pyGAM","dswah","[CONTRIBUTORS WELCOME] Generalized Additive Models in Python","Python","Apache-2.0","Apache License 2.0","true",1013,327,"1/19/17 3:54","8/23/26 22:57","1/19/17 3:54","1/22/26 10:08",108.08,"machine-learning","true","true"
"h2oai/sparkling-water","https://github.com/h2oai/sparkling-water","sparkling-water","h2oai","Sparkling Water provides H2O functionality inside Spark cluster","Scala","Apache-2.0","Apache License 2.0","true",979,3133,"10/13/14 23:06","7/11/26 12:56","10/13/14 23:06","8/20/25 23:05",130.19,"machine-learning","true","true"
"libxsmm/libxsmm","https://github.com/libxsmm/libxsmm","libxsmm","libxsmm","Library for specialized dense and sparse matrix operations, and deep learning primitives.","C","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",976,368,"9/23/14 15:20","9/2/26 18:43","4/4/14 7:02","9/2/26 18:43",148.95,"machine-learning","true","true"
"sparklyr/sparklyr","https://github.com/sparklyr/sparklyr","sparklyr","sparklyr","R interface for Apache Spark","R","Apache-2.0","Apache License 2.0","true",972,2069,"5/20/16 15:28","8/4/26 12:58","4/6/16 18:14","7/2/26 2:14",122.8,"machine-learning","true","true"
"scikit-multilearn/scikit-multilearn","https://github.com/scikit-multilearn/scikit-multilearn","scikit-multilearn","scikit-multilearn","A scikit-learn based module for multi-label et. al. classification","Python","BSD-2-Clause","BSD 2-Clause ""Simplified"" License","true",956,202,"4/30/14 13:05","8/23/26 10:54","4/30/14 13:05","4/19/23 21:43",107.62,"machine-learning","true","true"
"stanfordnmbl/osim-rl","https://github.com/stanfordnmbl/osim-rl","osim-rl","stanfordnmbl","Reinforcement learning environments with musculoskeletal models","Python","MIT","MIT License","true",946,174,"10/15/16 23:14","9/2/26 9:27","10/15/16 23:13","2/20/20 5:29",40.14,"machine-learning","true","true"
"probcomp/bayeslite","https://github.com/probcomp/bayeslite","bayeslite","probcomp","BayesDB on SQLite. A Bayesian database table for querying the probable implications of data as easily as SQL databases query the data itself.","Python","Apache-2.0","Apache License 2.0","true",940,495,"10/30/14 1:26","7/21/26 1:50","10/27/14 21:10","4/16/20 21:07",65.6,"machine-learning","true","true"
"mateogianolio/vectorious","https://github.com/mateogianolio/vectorious","vectorious","mateogianolio","Linear algebra in TypeScript.","TypeScript","MIT","MIT License","true",919,126,"3/24/15 11:49","7/31/26 7:03","3/24/15 11:48","5/6/24 8:44",109.4,"machine-learning","true","true"
"nikitakit/self-attentive-parser","https://github.com/nikitakit/self-attentive-parser","self-attentive-parser","nikitakit","High-accuracy NLP parser with models for 11 languages.","Python","MIT","MIT License","true",912,100,"4/27/18 7:49","7/31/26 16:28","11/3/17 20:18","5/4/21 21:31",41.98,"machine-learning","true","true"
"SMTorg/smt","https://github.com/SMTorg/smt","smt","SMTorg","SMT: The Surrogate Modeling Toolbox","Jupyter Notebook","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",912,182,"11/8/16 23:00","9/2/26 6:54","11/8/16 23:00","8/10/26 10:34",116.98,"machine-learning","true","true"
"stratosphereips/StratosphereLinuxIPS","https://github.com/stratosphereips/StratosphereLinuxIPS","StratosphereLinuxIPS","stratosphereips","Slips, a free software behavioral Python intrusion prevention system (IDS/IPS) that uses machine learning to detect malicious behaviors in the network traffic. Stratosphere Laboratory, AIC, FEL, CVUT in Prague.","Python","GPL-2.0","GNU General Public License v2.0","true",884,1226,"12/8/15 16:06","9/1/26 13:53","12/8/15 16:35","9/1/26 13:26",128.75,"machine-learning","true","true"
"parlance/ctcdecode","https://github.com/parlance/ctcdecode","ctcdecode","parlance","PyTorch CTC Decoder bindings","C++","MIT","MIT License","true",857,164,"6/14/17 20:17","8/24/26 7:59","6/14/17 18:40","6/7/21 12:44",47.73,"machine-learning","true","true"
"Breta01/handwriting-ocr","https://github.com/Breta01/handwriting-ocr","handwriting-ocr","Breta01","OCR software for recognition of handwritten text","Jupyter Notebook","MIT","MIT License","true",843,146,"1/14/17 21:13","8/31/26 6:08","1/14/17 21:13","12/23/22 8:43",71.22,"machine-learning","true","true"
"brucefan1983/GPUMD","https://github.com/brucefan1983/GPUMD","GPUMD","brucefan1983","Graphics Processing Units Molecular Dynamics","Cuda","GPL-3.0","GNU General Public License v3.0","true",830,286,"7/14/17 15:32","9/2/26 19:28","7/14/17 15:32","9/2/26 19:28",109.63,"machine-learning","true","true"
"scikit-multiflow/scikit-multiflow","https://github.com/scikit-multiflow/scikit-multiflow","scikit-multiflow","scikit-multiflow","A machine learning package for streaming data in Python. The other ancestor of River.","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",798,194,"11/14/17 16:46","8/18/26 2:59","5/4/17 19:50","11/18/20 23:21",42.51,"machine-learning","true","true"
"ntucllab/libact","https://github.com/ntucllab/libact","libact","ntucllab","Pool-based active learning in Python","Python","BSD-2-Clause","BSD 2-Clause ""Simplified"" License","true",792,100,"12/6/15 17:24","8/21/26 12:50","9/26/14 12:46","8/21/26 12:49",142.81,"machine-learning","true","true"
"pyRiemann/pyRiemann","https://github.com/pyRiemann/pyRiemann","pyRiemann","pyRiemann","Machine learning for multivariate data through the Riemannian geometry of positive definite matrices in Python","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",776,124,"4/19/15 16:01","8/31/26 20:16","2/4/15 15:45","8/31/26 20:11",138.83,"machine-learning","true","true"
"scverse/anndata","https://github.com/scverse/anndata","anndata","scverse","Annotated data.","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",768,896,"8/11/17 14:10","8/31/26 8:26","8/11/17 14:10","8/31/26 8:21",108.61,"machine-learning","true","true"
"openml/OpenML","https://github.com/openml/OpenML","OpenML","openml","Open Machine Learning","PHP","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",754,935,"12/11/12 11:27","8/30/26 21:31","12/12/12 12:05","8/19/26 10:27",164.16,"machine-learning","true","true"
"Yomguithereal/talisman","https://github.com/Yomguithereal/talisman","talisman","Yomguithereal","Straightforward fuzzy matching, information retrieval and NLP building blocks for JavaScript.","JavaScript","MIT","MIT License","true",732,165,"3/25/16 11:09","8/13/26 12:48","3/25/16 11:08","5/5/21 13:41",61.33,"machine-learning","true","true"
"inception-project/inception","https://github.com/inception-project/inception","inception","inception-project","INCEpTION provides a semantic annotation platform offering intelligent annotation assistance and knowledge management.","Java","Apache-2.0","Apache License 2.0","true",713,3369,"3/27/18 15:04","9/2/26 17:01","3/12/13 13:38","9/2/26 4:41",161.66,"machine-learning","true","true"
"jubatus/jubatus","https://github.com/jubatus/jubatus","jubatus","jubatus","Framework and Library for Distributed Online Machine Learning","C++","LGPL-2.1","GNU Lesser General Public License v2.1","true",707,696,"10/25/11 17:24","8/11/26 15:00","10/25/11 17:43","5/16/19 5:18",90.64,"machine-learning","true","true"
"fatiando/verde","https://github.com/fatiando/verde","verde","fatiando","Processing and gridding spatial data, machine-learning style","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",666,152,"4/25/18 23:21","8/23/26 2:17","4/26/18 3:36","8/4/26 17:41",99.28,"machine-learning","true","true"
"CornellNLP/ConvoKit","https://github.com/CornellNLP/ConvoKit","ConvoKit","CornellNLP","ConvoKit is a toolkit for extracting conversational features and analyzing social phenomena in conversations. It includes several large conversational datasets along with scripts exemplifying the use of the toolkit on these datasets.","Jupyter Notebook","MIT","MIT License","true",648,112,"3/14/16 19:04","9/2/26 2:14","3/14/16 19:04","7/1/26 0:44",123.52,"machine-learning","true","true"
"genicam/harvesters","https://github.com/genicam/harvesters","harvesters","genicam","Image Acquisition Library for GenICam-based Machine Vision System","Python","Apache-2.0","Apache License 2.0","true",612,413,"5/18/18 5:40","8/28/26 2:17","5/18/18 5:40","5/8/24 6:36",71.68,"machine-learning","true","true"
"mozilla/bugbug","https://github.com/mozilla/bugbug","bugbug","mozilla","Platform for Machine Learning projects on Software Engineering","Python","MPL-2.0","Mozilla Public License 2.0","true",569,1555,"3/12/18 15:29","9/2/26 18:23","3/11/18 20:12","9/2/26 18:21",101.71,"machine-learning","true","true"
"X-DataInitiative/tick","https://github.com/X-DataInitiative/tick","tick","X-DataInitiative","Module for statistical learning, with a particular emphasis on time-dependent modelling","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",554,250,"12/1/16 10:59","9/3/26 1:27","3/30/17 14:49","5/4/26 12:57",109.1,"machine-learning","true","true"
"CycloneDX/specification","https://github.com/CycloneDX/specification","specification","CycloneDX","OWASP CycloneDX is a full-stack Bill of Materials (BOM) standard that provides advanced supply chain capabilities for cyber risk reduction. SBOM, SaaSBOM, HBOM, AI/ML-BOM, CBOM, OBOM, MBOM, VDR, and VEX","XSLT","Apache-2.0","Apache License 2.0","true",544,474,"5/29/17 2:22","9/2/26 6:55","5/29/17 2:22","9/2/26 6:55",111.14,"machine-learning","true","true"
"machinelearnjs/machinelearnjs","https://github.com/machinelearnjs/machinelearnjs","machinelearnjs","machinelearnjs","Machine Learning library for the web and Node.","TypeScript","MIT","MIT License","true",540,106,"4/29/18 0:14","8/27/26 11:17","4/29/18 0:51","4/6/25 14:33",83.25,"machine-learning","true","true"
"optimatika/ojAlgo","https://github.com/optimatika/ojAlgo","ojAlgo","optimatika","oj! Algorithms - Open Source Java library for mathematics, linear algebra and optimisation. Pure Java, zero dependencies: fast matrices plus LP, QP and MIP solvers.","Java","MIT","MIT License","true",503,166,"10/6/13 17:20","9/2/26 6:35","1/14/14 10:40","9/1/26 6:13",151.51,"machine-learning","true","true"
