topic_label,source,role_in_strategy
artificial-intelligence,"Gonzalez, Zimmermann and Nagappan (2020)",base topic
deep-learning,"Gonzalez, Zimmermann and Nagappan (2020)",base topic
machine-learning,"Gonzalez, Zimmermann and Nagappan (2020)",base topic
