"indicador","valor"
"linhas_lidas",474
"pares_completos_D1",474
"pares_completos_score",474
"D1_pre",3
"D1_pos",29
"pre_1_pos_0",1
"pre_0_pos_1",27
"p_McNemar_exato_bicaudal",2.16066837310791e-07
"media_score_pre",0.0105485232067511
"media_score_pos",0.135021097046413
"diferenca_media_score",0.124472573839662
"aumentos_score",24
"reducoes_score",0
"empates_score",450
"diferencas_nao_nulas",24
"W_mais",300
"W_menos",0
"p_Wilcoxon_exato_bicaudal",1.19209289550781e-07
"correlacao_bisserial",1
