"repository","url","name","owner","description","language","license_spdx_id","license_name","license_osi_approved","stars","issues","created_at","updated_at","first_commit_at","last_commit_at","activity_months","ai_ml_match_topics","has_pre_gdpr_activity","has_post_gdpr_activity"
"brendan-duncan/image","https://github.com/brendan-duncan/image","image","brendan-duncan","Dart Image Library for opening, manipulating, and saving various different image file formats.","Dart","MIT","MIT License","true",1266,614,"2014-01-09T19:03:48Z","2026-09-24T09:45:14Z","2013-12-14T01:21:55Z","2026-09-23T04:24:33Z",153.29,"image-processing","true","true"
"flyimg/flyimg","https://github.com/flyimg/flyimg","flyimg","flyimg","Dockerized application that resizes and crops images on the fly, delivering optimized images in formats such as AVIF, WebP, MozJPEG, or PNG using ImageMagick, with an efficient caching system.","PHP","AGPL-3.0","GNU Affero General Public License v3.0","true",1227,220,"2016-03-08T09:05:33Z","2026-09-19T11:32:53Z","2016-03-08T09:05:33Z","2026-09-02T05:19:28Z",125.82,"image-processing","true","true"
"Faster3ck/Converseen","https://github.com/Faster3ck/Converseen","Converseen","Faster3ck","Converseen is a batch image converter and resizer","C++","GPL-3.0","GNU General Public License v3.0","true",1154,213,"2013-04-12T11:08:12Z","2026-09-25T01:58:02Z","2013-04-12T11:28:33Z","2026-09-07T16:43:02Z",160.85,"image-processing","true","true"
"SimpleITK/SimpleITK","https://github.com/SimpleITK/SimpleITK","SimpleITK","SimpleITK","SimpleITK: a layer built on top of the Insight Toolkit (ITK), intended to simplify and facilitate ITK's use in rapid prototyping, education and interpreted languages.","C++","Apache-2.0","Apache License 2.0","true",1089,728,"2010-11-10T18:56:04Z","2026-09-24T07:16:14Z","2010-07-09T13:42:05Z","2026-09-18T20:00:04Z",194.33,"image-processing","true","true"
"image-rs/imageproc","https://github.com/image-rs/imageproc","imageproc","image-rs","Image processing operations","Rust","MIT","MIT License","true",980,266,"2015-09-27T18:11:32Z","2026-09-23T11:18:09Z","2015-09-27T18:13:03Z","2026-08-29T22:59:04Z",131.05,"image-processing","true","true"
"janko/image_processing","https://github.com/janko/image_processing","image_processing","janko","Web-friendly image processing macros for libvips and ImageMagick","Ruby","MIT","MIT License","true",961,103,"2015-10-03T18:36:53Z","2026-09-14T22:27:57Z","2015-10-03T18:36:13Z","2026-09-01T20:07:19Z",130.95,"image-processing","true","true"
"libvips/ruby-vips","https://github.com/libvips/ruby-vips","ruby-vips","libvips","Ruby extension for the libvips image processing library.","Ruby","MIT","MIT License","true",904,277,"2011-10-11T16:45:42Z","2026-08-25T05:11:34Z","2010-08-05T07:01:37Z","2026-07-31T17:50:11Z",191.83,"image-processing","true","true"
"CCExtractor/ccextractor","https://github.com/CCExtractor/ccextractor","ccextractor","CCExtractor","CCExtractor - Official version maintained by the core team","C","GPL-2.0","GNU General Public License v2.0","true",902,690,"2014-04-10T16:58:43Z","2026-09-23T02:44:31Z","2014-04-12T10:41:27Z","2026-09-23T02:44:24Z",149.36,"image-processing","true","true"
"letmaik/rawpy","https://github.com/letmaik/rawpy","rawpy","letmaik","📷 RAW image processing for Python, a wrapper for libraw","Python","MIT","MIT License","true",825,199,"2014-09-07T14:32:12Z","2026-09-23T04:46:12Z","2014-09-07T14:32:12Z","2026-08-30T04:28:14Z",143.71,"image-processing","true","true"
"libvips/pyvips","https://github.com/libvips/pyvips","pyvips","libvips","python binding for libvips using cffi","Python","MIT","MIT License","true",812,486,"2017-07-28T16:39:43Z","2026-09-16T22:23:27Z","2017-07-28T16:39:56Z","2026-08-30T09:21:10Z",109.06,"image-processing","true","true"
"nipreps/fmriprep","https://github.com/nipreps/fmriprep","fmriprep","nipreps","fMRIPrep is a robust and easy-to-use pipeline for preprocessing of diverse fMRI data. The transparent workflow dispenses of manual intervention, thereby ensuring the reproducibility of the results.","HTML","Apache-2.0","Apache License 2.0","true",756,1961,"2016-03-05T00:56:46Z","2026-09-24T11:00:30Z","2016-03-05T00:56:46Z","2026-09-16T18:32:04Z",126.4,"image-processing","true","true"
"saucecontrol/PhotoSauce","https://github.com/saucecontrol/PhotoSauce","PhotoSauce","saucecontrol","MagicScaler high-performance, high-quality image processing pipeline for .NET","C#","MIT","MIT License","true",735,135,"2017-01-16T23:58:01Z","2026-09-25T22:46:55Z","2017-01-16T23:59:03Z","2026-09-25T22:46:29Z",116.26,"image-processing","true","true"
"spectralpython/spectral","https://github.com/spectralpython/spectral","spectral","spectralpython","Python module for hyperspectral image processing","Python","MIT","MIT License","true",684,141,"2014-02-06T03:36:54Z","2026-09-21T17:48:56Z","2001-11-13T02:10:56Z","2026-09-04T16:45:02Z",297.69,"image-processing","true","true"
"kanryu/quickviewer","https://github.com/kanryu/quickviewer","quickviewer","kanryu","A image/comic viewer application for Windows, Mac and Linux, it can show images very fast","C++","GPL-3.0","GNU General Public License v3.0","true",666,182,"2017-03-20T11:20:42Z","2026-09-18T06:43:37Z","2017-03-20T11:20:42Z","2025-12-27T08:36:52Z",105.25,"image-processing","true","true"
"3dem/relion","https://github.com/3dem/relion","relion","3dem","Image-processing software for cryo-electron microscopy","C++","GPL-2.0","GNU General Public License v2.0","true",557,1242,"2017-01-26T15:21:11Z","2026-09-23T16:41:31Z","2015-02-09T13:39:31Z","2026-08-19T22:47:59Z",138.28,"image-processing","true","true"
"kleisauke/net-vips","https://github.com/kleisauke/net-vips","net-vips","kleisauke",".NET binding for libvips.","C#","MIT","MIT License","true",526,267,"2018-02-19T12:23:37Z","2026-09-25T01:51:09Z","2018-02-20T21:33:23Z","2026-09-09T07:54:44Z",102.58,"image-processing","true","true"
"BrainJS/brain.js","https://github.com/BrainJS/brain.js","brain.js","BrainJS","🤖 GPU accelerated Neural networks in JavaScript for Browsers and Node.js","TypeScript","MIT","MIT License","true",14862,608,"2016-02-13T18:09:44Z","2026-09-24T18:10:15Z","2010-05-10T06:51:05Z","2024-07-09T16:06:13Z",169.99,"neural-network; convolutional-neural-networks","true","true"
"meijieru/crnn.pytorch","https://github.com/meijieru/crnn.pytorch","crnn.pytorch","meijieru","Convolutional recurrent network in pytorch","Python","MIT","MIT License","true",2495,239,"2017-02-27T09:26:06Z","2026-09-17T07:15:25Z","2017-02-27T09:27:39Z","2024-09-19T06:50:04Z",90.7,"neural-network","true","true"
"Maratyszcza/NNPACK","https://github.com/Maratyszcza/NNPACK","NNPACK","Maratyszcza","Acceleration package for neural networks on multi-core CPUs","C","BSD-2-Clause","BSD 2-Clause ""Simplified"" License","true",1711,197,"2016-03-21T17:47:34Z","2026-08-29T23:33:21Z","2016-03-24T18:33:31Z","2023-02-01T23:35:35Z",82.3,"neural-network","true","true"
"Cloud-CV/Fabrik","https://github.com/Cloud-CV/Fabrik","Fabrik","Cloud-CV",":factory: Collaboratively build, visualize, and design neural nets in browser","Python","GPL-3.0","GNU General Public License v3.0","true",1131,137,"2016-05-28T17:51:46Z","2026-09-21T17:45:31Z","2016-05-28T17:51:47Z","2018-12-12T17:25:56Z",30.49,"neural-network","true","true"
"ethanhe42/channel-pruning","https://github.com/ethanhe42/channel-pruning","channel-pruning","ethanhe42","Channel Pruning for Accelerating Very Deep Neural Networks (ICCV'17)","Python","MIT","MIT License","true",1087,125,"2017-08-21T09:19:53Z","2026-09-22T14:28:36Z","2017-08-21T09:14:02Z","2024-05-02T06:37:42Z",80.35,"image-classification; object-detection","true","true"
"brightmart/text_classification","https://github.com/brightmart/text_classification","text_classification","brightmart","all kinds of text classification models and more with deep learning","Python","MIT","MIT License","true",7936,124,"2017-05-30T14:25:42Z","2026-09-24T06:07:25Z","2017-05-30T14:20:54Z","2022-09-21T06:47:05Z",63.72,"convolutional-neural-networks; nlp","true","true"
"gnina/gnina","https://github.com/gnina/gnina","gnina","gnina","A deep learning framework for molecular docking","C++","Apache-2.0","Apache License 2.0","true",982,279,"2015-11-04T15:29:17Z","2026-09-25T11:58:45Z","2012-11-28T20:30:24Z","2026-06-29T14:43:21Z",162.97,"convolutional-neural-networks","true","true"
"microsoft/O-CNN","https://github.com/microsoft/O-CNN","O-CNN","microsoft","O-CNN: Octree-based Convolutional Neural Networks for 3D Shape Analysis","C++","MIT","MIT License","true",755,148,"2017-06-13T04:03:54Z","2026-09-17T18:21:41Z","2017-06-13T04:03:54Z","2022-08-30T09:45:51Z",62.56,"convolutional-neural-networks","true","true"
"rafaelpadilla/Object-Detection-Metrics","https://github.com/rafaelpadilla/Object-Detection-Metrics","Object-Detection-Metrics","rafaelpadilla","Most popular metrics used to evaluate object detection algorithms.","Python","MIT","MIT License","true",5102,150,"2018-05-23T17:51:15Z","2026-09-22T20:18:25Z","2018-05-23T17:51:16Z","2026-07-16T14:17:42Z",97.76,"object-detection","true","true"
"endernewton/tf-faster-rcnn","https://github.com/endernewton/tf-faster-rcnn","tf-faster-rcnn","endernewton","Tensorflow Faster RCNN for Object Detection","Python","MIT","MIT License","true",3647,482,"2017-01-23T19:51:32Z","2026-09-17T11:13:09Z","2017-01-23T19:51:33Z","2021-09-27T10:11:10Z",56.1,"object-detection","true","true"
"hooram/ownphotos","https://github.com/hooram/ownphotos","ownphotos","hooram","Self hosted alternative to Google Photos ","Jupyter Notebook","MIT","MIT License","true",2757,120,"2017-07-17T08:56:54Z","2026-09-25T17:30:09Z","2017-05-23T09:09:16Z","2021-01-11T15:32:23Z",43.67,"object-detection","true","true"
"photonixapp/photonix","https://github.com/photonixapp/photonix","photonix","photonixapp","A modern, web-based photo management server. Run it on your home server and it will let you find the right photo from your collection on any device. Smart filtering is made possible by object recognition, face recognition, location awareness, color analysis and other ML algorithms.","Python","AGPL-3.0","GNU Affero General Public License v3.0","true",1956,285,"2017-03-07T22:30:32Z","2026-09-18T01:05:41Z","2017-03-07T22:30:33Z","2026-07-20T20:03:01Z",112.41,"object-detection","true","true"
"AlexeyAB/Yolo_mark","https://github.com/AlexeyAB/Yolo_mark","Yolo_mark","AlexeyAB","GUI for marking bounded boxes of objects in images for training neural network Yolo v3 and v2","C++","Unlicense","The Unlicense","true",1842,194,"2016-12-17T21:25:07Z","2026-09-10T22:53:02Z","2016-12-17T21:25:07Z","2019-04-24T09:59:27Z",28.17,"object-detection","true","true"
"cheind/py-motmetrics","https://github.com/cheind/py-motmetrics","py-motmetrics","cheind",":bar_chart: Benchmark multiple object trackers (MOT) in Python","Python","MIT","MIT License","true",1488,159,"2017-04-07T15:16:59Z","2026-09-08T05:29:42Z","2017-04-07T05:23:16Z","2026-07-17T11:48:07Z",111.31,"object-detection","true","true"
"qfgaohao/pytorch-ssd","https://github.com/qfgaohao/pytorch-ssd","pytorch-ssd","qfgaohao","MobileNetV1, MobileNetV2, VGG based SSD/SSD-lite implementation in Pytorch 1.0 / Pytorch 0.4. Out-of-box support for retraining on Open Images dataset. ONNX and Caffe2 support. Experiment Ideas like CoordConv.","Python","MIT","MIT License","true",1430,173,"2018-05-18T04:56:09Z","2026-09-11T18:09:13Z","2018-05-18T05:16:10Z","2023-03-11T09:50:27Z",57.76,"object-detection","true","true"
"madhawav/YOLO3-4-Py","https://github.com/madhawav/YOLO3-4-Py","YOLO3-4-Py","madhawav","A Python wrapper on Darknet. Compatible with YOLO V3.","Python","Apache-2.0","Apache License 2.0","true",510,125,"2018-04-01T15:26:25Z","2026-07-14T00:15:24Z","2018-04-01T13:52:58Z","2021-11-27T23:26:55Z",43.9,"object-detection","true","true"
"hankcs/HanLP","https://github.com/hankcs/HanLP","HanLP","hankcs","中文分词 词性标注 命名实体识别 依存句法分析 成分句法分析 语义依存分析 语义角色标注 指代消解 风格转换 语义相似度 新词发现 关键词短语提取 自动摘要 文本分类聚类 拼音简繁转换 自然语言处理","Python","Apache-2.0","Apache License 2.0","true",36507,1424,"2014-10-09T06:36:16Z","2026-09-26T00:00:03Z","2014-10-09T06:37:10Z","2026-09-15T06:49:59Z",143.2,"natural-language-processing; nlp","true","true"
"languagetool-org/languagetool","https://github.com/languagetool-org/languagetool","languagetool","languagetool-org","Style and Grammar Checker for 25+ Languages","Java","LGPL-2.1","GNU Lesser General Public License v2.1","true",15089,6181,"2013-08-08T16:37:22Z","2026-09-25T16:16:17Z","2003-05-19T00:09:52Z","2026-09-25T09:23:41Z",280.24,"natural-language-processing","true","true"
"google/sentencepiece","https://github.com/google/sentencepiece","sentencepiece","google","Unsupervised text tokenizer for Neural Network-based text generation.","C++","Apache-2.0","Apache License 2.0","true",12100,844,"2017-03-07T10:03:48Z","2026-09-26T01:20:45Z","2017-03-07T10:43:50Z","2026-09-22T16:35:58Z",114.53,"natural-language-processing","true","true"
"stanfordnlp/CoreNLP","https://github.com/stanfordnlp/CoreNLP","CoreNLP","stanfordnlp","CoreNLP: A Java suite of core NLP tools for tokenization, sentence segmentation, NER, parsing, coreference, sentiment analysis, etc.","Java","GPL-3.0","GNU General Public License v3.0","true",10121,1144,"2013-06-27T21:13:49Z","2026-09-25T15:59:35Z","2013-06-27T21:44:08Z","2026-09-25T05:02:07Z",158.91,"natural-language-processing; nlp","true","true"
"sloria/TextBlob","https://github.com/sloria/TextBlob","TextBlob","sloria","Simple, Pythonic, text processing--Sentiment analysis, part-of-speech tagging, noun phrase extraction, translation, and more.","Python","MIT","MIT License","true",9549,279,"2013-06-30T18:29:18Z","2026-09-22T09:46:45Z","2013-06-30T18:07:53Z","2026-09-22T00:08:38Z",158.71,"natural-language-processing; nlp","true","true"
"deanmalmgren/textract","https://github.com/deanmalmgren/textract","textract","deanmalmgren","extract text from any document. no muss. no fuss.","HTML","MIT","MIT License","true",4722,271,"2014-07-03T20:36:59Z","2026-09-23T14:25:41Z","2014-07-03T20:36:59Z","2026-09-01T12:05:09Z",145.95,"natural-language-processing","true","true"
"bentrevett/pytorch-sentiment-analysis","https://github.com/bentrevett/pytorch-sentiment-analysis","pytorch-sentiment-analysis","bentrevett","Tutorials on getting started with PyTorch and TorchText for sentiment analysis.","Jupyter Notebook","MIT","MIT License","true",4611,111,"2017-12-13T13:36:40Z","2026-09-24T00:41:26Z","2017-12-13T13:36:41Z","2024-01-22T21:45:38Z",73.3,"natural-language-processing; nlp; transformers","true","true"
"JohnSnowLabs/spark-nlp","https://github.com/JohnSnowLabs/spark-nlp","spark-nlp","JohnSnowLabs","State of the Art Natural Language Processing","Scala","Apache-2.0","Apache License 2.0","true",4158,914,"2017-09-24T19:36:44Z","2026-09-26T02:22:16Z","2017-09-24T19:36:45Z","2026-09-26T02:22:08Z",108.03,"natural-language-processing; nlp; llm; transformers","true","true"
"hunspell/hunspell","https://github.com/hunspell/hunspell","hunspell","hunspell","The most popular spellchecking library.","C++","LGPL-2.1","GNU Lesser General Public License v2.1","true",2595,764,"2015-06-11T11:57:22Z","2026-09-25T19:40:59Z","2010-02-23T09:08:57Z","2026-09-24T20:08:13Z",199,"natural-language-processing","true","true"
"nltk/nltk_data","https://github.com/nltk/nltk_data","nltk_data","nltk","NLTK Data","Python","Apache-2.0","Apache License 2.0","true",1832,151,"2012-05-10T10:44:20Z","2026-09-22T04:31:31Z","2012-05-10T10:46:44Z","2026-07-01T00:40:19Z",169.66,"natural-language-processing; nlp","true","true"
"boudinfl/pke","https://github.com/boudinfl/pke","pke","boudinfl","Python Keyphrase Extraction module","Python","GPL-3.0","GNU General Public License v3.0","true",1591,147,"2015-11-13T08:11:45Z","2026-09-11T02:10:03Z","2015-11-13T08:11:28Z","2023-07-12T16:18:04Z",91.93,"natural-language-processing","true","true"
"roshan-research/hazm","https://github.com/roshan-research/hazm","hazm","roshan-research","Persian NLP Toolkit","Python","MIT","MIT License","true",1426,249,"2013-10-29T13:10:08Z","2026-09-22T16:17:56Z","2013-10-29T13:10:08Z","2026-04-01T18:55:05Z",149.06,"natural-language-processing; nlp","true","true"
"PyThaiNLP/pythainlp","https://github.com/PyThaiNLP/pythainlp","pythainlp","PyThaiNLP","Thai natural language processing in Python","Python","Apache-2.0","Apache License 2.0","true",1156,454,"2016-06-23T14:57:26Z","2026-09-24T18:46:11Z","2016-06-23T14:57:28Z","2026-09-24T18:46:05Z",123.03,"natural-language-processing","true","true"
"quanteda/quanteda","https://github.com/quanteda/quanteda","quanteda","quanteda","An R package for the Quantitative Analysis of Textual Data","R","GPL-3.0","GNU General Public License v3.0","true",888,1380,"2012-08-15T10:15:43Z","2026-09-25T07:36:17Z","2012-08-15T10:15:43Z","2026-08-05T00:58:15Z",167.63,"natural-language-processing","true","true"
"acl-org/acl-anthology","https://github.com/acl-org/acl-anthology","acl-anthology","acl-org","Data and software for building the ACL Anthology.","Python","Apache-2.0","Apache License 2.0","true",807,7400,"2014-05-23T08:37:21Z","2026-09-25T17:25:55Z","2013-12-14T09:34:26Z","2026-09-22T20:35:31Z",153.27,"natural-language-processing","true","true"
"hellostealth/stealth","https://github.com/hellostealth/stealth","stealth","hellostealth","An open source Ruby framework for text and voice chatbots. 🤖","Ruby","MIT","MIT License","true",598,102,"2017-09-12T02:57:19Z","2026-09-25T11:19:50Z","2017-09-14T02:14:24Z","2025-08-18T21:45:44Z",95.13,"natural-language-processing","true","true"
"malaysia-ai/malaya","https://github.com/malaysia-ai/malaya","malaya","malaysia-ai"," Natural Language Toolkit for Malaysian language, https://malaya.readthedocs.io/","Jupyter Notebook","MIT","MIT License","true",530,140,"2018-03-12T02:23:35Z","2026-09-07T10:15:53Z","2018-03-12T02:23:35Z","2026-03-26T00:34:10Z",96.45,"natural-language-processing","true","true"
"spencermountain/compromise","https://github.com/spencermountain/compromise","compromise","spencermountain","modest natural-language processing","JavaScript","MIT","MIT License","true",12159,761,"2011-07-05T09:04:38Z","2026-09-24T20:20:25Z","2011-07-12T12:34:23Z","2026-09-19T19:29:04Z",182.27,"nlp","true","true"
"data-privacy-stack/presidio","https://github.com/data-privacy-stack/presidio","presidio","data-privacy-stack","An open-source framework for detecting, redacting, masking, and anonymizing sensitive data (PII) across text, images, and structured data. Supports NLP, pattern matching, and customizable pipelines.","Python","MIT","MIT License","true",11041,578,"2018-05-04T11:08:58Z","2026-09-25T22:19:36Z","2018-05-04T11:08:59Z","2026-09-24T11:18:24Z",100.69,"nlp; transformers","true","true"
"NLPchina/ansj_seg","https://github.com/NLPchina/ansj_seg","ansj_seg","NLPchina","ansj分词.ict的真正java实现.分词效果速度都超过开源版的ict. 中文分词,人名识别,词性标注,用户自定义词典","Java","Apache-2.0","Apache License 2.0","true",6505,711,"2012-09-05T05:56:24Z","2026-09-25T16:15:34Z","2012-09-05T05:56:25Z","2023-10-14T14:38:52Z",133.26,"nlp","true","true"
"aisingapore/TagUI","https://github.com/aisingapore/TagUI","TagUI","aisingapore","Free RPA tool by AI Singapore","JavaScript","Apache-2.0","Apache License 2.0","true",6334,1304,"2016-12-06T04:30:34Z","2026-09-24T15:01:33Z","2016-12-06T04:30:35Z","2026-09-20T11:49:19Z",117.45,"nlp","true","true"
"vi3k6i5/flashtext","https://github.com/vi3k6i5/flashtext","flashtext","vi3k6i5","Extract Keywords from sentence or Replace keywords in sentences.","Python","MIT","MIT License","true",5706,114,"2017-08-15T18:03:01Z","2026-09-21T03:56:52Z","2017-08-15T18:00:27Z","2022-05-03T07:13:22Z",56.56,"nlp","true","true"
"wooorm/franc","https://github.com/wooorm/franc","franc","wooorm","Natural language detection","JavaScript","MIT","MIT License","true",4415,109,"2014-07-19T14:50:53Z","2026-09-25T13:30:00Z","2014-07-19T14:52:55Z","2024-03-27T12:12:55Z",116.26,"nlp","true","true"
"miso-belica/sumy","https://github.com/miso-belica/sumy","sumy","miso-belica","Module for automatic summarization of text documents and HTML pages.","Python","Apache-2.0","Apache License 2.0","true",3698,127,"2013-02-20T12:56:48Z","2026-09-23T14:59:35Z","2013-02-20T13:12:18Z","2026-09-09T05:41:09Z",162.57,"nlp","true","true"
"textlint/textlint","https://github.com/textlint/textlint","textlint","textlint","textlint is the pluggable linter for natural language text.","TypeScript","MIT","MIT License","true",3192,471,"2014-12-25T10:34:46Z","2026-09-25T11:31:06Z","2014-12-24T16:31:10Z","2026-09-25T11:31:00Z",141.02,"nlp","true","true"
"readbeyond/aeneas","https://github.com/readbeyond/aeneas","aeneas","readbeyond","aeneas is a Python/C library and a set of tools to automagically synchronize audio and text (aka forced alignment)","Python","AGPL-3.0","GNU Affero General Public License v3.0","true",2867,219,"2015-05-11T11:19:46Z","2026-09-25T14:25:04Z","2015-05-12T09:18:49Z","2020-05-13T19:46:24Z",60.07,"nlp","true","true"
"baidu/Familia","https://github.com/baidu/Familia","Familia","baidu","A Toolkit for Industrial Topic Modeling","C++","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",2644,103,"2017-06-14T06:48:21Z","2026-09-14T17:57:43Z","2017-06-15T03:08:56Z","2021-07-01T08:28:32Z",48.53,"nlp","true","true"
"fhamborg/news-please","https://github.com/fhamborg/news-please","news-please","fhamborg","news-please - an integrated web crawler and information extractor for news that just works","Python","Apache-2.0","Apache License 2.0","true",2493,182,"2016-12-18T17:00:02Z","2026-09-23T19:49:45Z","2016-09-17T09:43:47Z","2026-04-14T21:17:41Z",114.86,"nlp","true","true"
"undertheseanlp/underthesea","https://github.com/undertheseanlp/underthesea","underthesea","undertheseanlp","Underthesea - AI Assistant","Python","Apache-2.0","Apache License 2.0","true",1806,299,"2017-03-01T10:24:26Z","2026-09-25T04:49:35Z","2017-03-01T10:23:59Z","2026-09-05T05:06:15Z",114.15,"nlp; llm","true","true"
"microsoft/Recognizers-Text","https://github.com/microsoft/Recognizers-Text","Recognizers-Text","microsoft","Microsoft.Recognizers.Text provides recognition and resolution of numbers, units, date/time, etc. in multiple languages (ZH, EN, FR, ES, PT, DE, IT, TR, HI, NL. Partial support for JA, KO, AR, SV). Packages available at: https://www.nuget.org/profiles/Recognizers.Text, https://www.npmjs.com/~recognizers.text","C#","MIT","MIT License","true",1796,921,"2017-04-17T19:45:47Z","2026-09-22T09:52:04Z","2017-04-17T19:45:47Z","2026-01-23T05:47:42Z",105.2,"nlp","true","true"
"chrismattmann/tika-python","https://github.com/chrismattmann/tika-python","tika-python","chrismattmann","Tika-Python is a Python binding to the Apache Tika™ REST services allowing Tika to be called natively in the Python community.","Python","Apache-2.0","Apache License 2.0","true",1666,309,"2014-06-26T15:04:49Z","2026-09-03T07:20:51Z","2014-06-26T15:05:15Z","2026-08-01T19:12:45Z",145.18,"nlp","true","true"
"fergiemcdowall/search-index","https://github.com/fergiemcdowall/search-index","search-index","fergiemcdowall","A persistent, network resilient, full text search library for the browser and Node.js","JavaScript","MIT","MIT License","true",1421,449,"2013-07-04T07:56:35Z","2026-09-09T08:56:09Z","2013-07-04T07:56:35Z","2026-08-18T08:15:52Z",157.46,"nlp","true","true"
"paschmann/rasa-ui","https://github.com/paschmann/rasa-ui","rasa-ui","paschmann","Rasa UI is a frontend for the Rasa Framework","JavaScript","MIT","MIT License","true",959,208,"2017-05-09T19:48:50Z","2026-08-18T03:31:24Z","2017-05-09T19:48:50Z","2025-11-12T14:20:44Z",102.13,"nlp","true","true"
"cltk/cltk","https://github.com/cltk/cltk","cltk","cltk","The Classical Language Toolkit","Python","MIT","MIT License","true",921,593,"2014-01-11T23:59:47Z","2026-09-19T03:59:39Z","2014-01-12T00:03:16Z","2026-08-01T22:16:44Z",150.62,"nlp","true","true"
"bab2min/Kiwi","https://github.com/bab2min/Kiwi","Kiwi","bab2min","Kiwi(지능형 한국어 형태소 분석기)","C++","Apache-2.0","Apache License 2.0","true",782,111,"2017-02-21T12:35:12Z","2026-09-15T17:24:02Z","2017-02-21T12:33:13Z","2026-09-15T17:23:56Z",114.76,"nlp","true","true"
"openeventdata/mordecai","https://github.com/openeventdata/mordecai","mordecai","openeventdata","Full text geoparsing as a Python library","Python","MIT","MIT License","true",766,100,"2016-06-23T19:49:45Z","2026-09-09T01:01:54Z","2015-04-21T17:15:16Z","2021-02-01T14:39:18Z",69.41,"nlp","true","true"
"titipata/pubmed_parser","https://github.com/titipata/pubmed_parser","pubmed_parser","titipata",":clipboard: A Python Parser for PubMed Open-Access XML Subset and MEDLINE XML Dataset","Python","MIT","MIT License","true",738,114,"2015-03-05T05:13:57Z","2026-09-19T03:11:23Z","2015-03-05T05:25:01Z","2025-07-31T15:29:15Z",124.88,"nlp","true","true"
"akoumjian/datefinder","https://github.com/akoumjian/datefinder","datefinder","akoumjian","Find dates inside text using Python and get back datetime objects","Python","MIT","MIT License","true",665,160,"2016-01-02T22:23:12Z","2026-09-03T04:04:59Z","2016-01-02T22:20:40Z","2026-03-25T21:30:03Z",122.7,"nlp","true","true"
"hubtype/botonic","https://github.com/hubtype/botonic","botonic","hubtype","Build chatbots and conversational experiences using React","TypeScript","MIT","MIT License","true",625,139,"2018-03-25T21:19:51Z","2026-09-22T17:30:45Z","2018-03-25T21:20:30Z","2026-09-22T13:43:36Z",101.93,"nlp","true","true"
"theopenconversationkit/tock","https://github.com/theopenconversationkit/tock","tock","theopenconversationkit","Tock, the open source conversational AI toolkit.","Kotlin","Apache-2.0","Apache License 2.0","true",612,1330,"2017-03-10T08:35:36Z","2026-09-25T09:46:00Z","2017-03-10T08:35:37Z","2026-09-25T09:45:05Z",114.52,"nlp","true","true"
"samtecspg/articulate","https://github.com/samtecspg/articulate","articulate","samtecspg","A platform for building conversational interfaces with intelligent agents (chatbots)","JavaScript","Apache-2.0","Apache License 2.0","true",592,1059,"2017-10-25T17:32:59Z","2026-09-02T10:18:13Z","2017-09-19T18:41:51Z","2020-07-30T20:57:36Z",34.33,"nlp","true","true"
"CAMeL-Lab/camel_tools","https://github.com/CAMeL-Lab/camel_tools","camel_tools","CAMeL-Lab","A suite of Arabic natural language processing tools developed by the CAMeL Lab at New York University Abu Dhabi.","Python","MIT","MIT License","true",581,117,"2017-10-05T09:19:46Z","2026-09-25T13:18:52Z","2017-10-05T09:18:13Z","2026-06-08T11:32:06Z",104.08,"nlp","true","true"
"gitleaks/gitleaks","https://github.com/gitleaks/gitleaks","gitleaks","gitleaks","Find secrets with Gitleaks 🔑","Go","MIT","MIT License","true",29487,986,"2018-01-27T18:19:31Z","2026-09-26T02:08:06Z","2018-01-27T18:20:41Z","2026-07-22T16:50:33Z",101.77,"llm","true","true"
"apache/seatunnel","https://github.com/apache/seatunnel","seatunnel","apache","SeaTunnel is a multimodal, high-performance, distributed, massive data integration tool.","Java","Apache-2.0","Apache License 2.0","true",9680,4969,"2017-08-05T09:14:47Z","2026-09-26T02:36:02Z","2017-08-05T14:30:14Z","2026-09-24T12:19:21Z",109.62,"llm; multimodal","true","true"
"pbek/QOwnNotes","https://github.com/pbek/QOwnNotes","QOwnNotes","pbek","QOwnNotes is a plain-text file notepad and todo-list manager with Markdown support and Nextcloud / ownCloud integration.","C++","GPL-2.0","GNU General Public License v2.0","true",5890,3049,"2014-12-02T14:38:05Z","2026-09-26T00:33:04Z","2014-11-29T15:48:42Z","2026-09-25T06:07:33Z",141.84,"llm","true","true"
"mock-server/mockserver-monorepo","https://github.com/mock-server/mockserver-monorepo","mockserver-monorepo","mock-server","MockServer is an HTTP(S) mock server and proxy for testing that lets you mock APIs, inspect and modify live traffic, and inject failures. It supports HTTP/1.1, HTTP/2, gRPC, WebSockets, TCP and more on a single port, with additional support for HTTP/3, message brokers, and AI/LLM APIs.","Java","Apache-2.0","Apache License 2.0","true",4976,1279,"2013-02-26T06:09:52Z","2026-09-26T01:02:56Z","2013-02-26T06:09:52Z","2026-09-26T01:02:51Z",162.94,"llm","true","true"
