"repository","url","name","owner","description","language","license_spdx_id","license_name","license_osi_approved","stars","issues","created_at","updated_at","first_commit_at","last_commit_at","activity_months","ai_ml_match_topics","has_pre_gdpr_activity","has_post_gdpr_activity"
"mozilla/bugbug","https://github.com/mozilla/bugbug","bugbug","mozilla","Platform for Machine Learning projects on Software Engineering","Python","MPL-2.0","Mozilla Public License 2.0","true",570,1632,"2018-03-12T15:29:09Z","2026-09-25T22:49:42Z","2018-03-11T20:12:35Z","2026-09-25T22:49:36Z",102.5,"machine-learning; llm","true","true"
"X-DataInitiative/tick","https://github.com/X-DataInitiative/tick","tick","X-DataInitiative","Module for statistical learning, with a particular emphasis on time-dependent modelling","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",556,250,"2016-12-01T10:59:08Z","2026-09-08T02:43:24Z","2017-03-30T14:49:20Z","2026-05-04T12:57:40Z",109.13,"machine-learning","true","true"
"CycloneDX/specification","https://github.com/CycloneDX/specification","specification","CycloneDX","OWASP CycloneDX is a full-stack Bill of Materials (BOM) standard that provides advanced supply chain capabilities for cyber risk reduction. SBOM, SaaSBOM, HBOM, AI/ML-BOM, CBOM, OBOM, MBOM, VDR, and VEX","XSLT","Apache-2.0","Apache License 2.0","true",553,485,"2017-05-29T02:22:06Z","2026-09-24T16:01:51Z","2017-05-29T02:22:06Z","2026-09-24T16:01:39Z",111.88,"machine-learning","true","true"
"machinelearnjs/machinelearnjs","https://github.com/machinelearnjs/machinelearnjs","machinelearnjs","machinelearnjs","Machine Learning library for the web and Node.","TypeScript","MIT","MIT License","true",540,106,"2018-04-29T00:14:06Z","2026-09-09T22:51:47Z","2018-04-29T00:51:27Z","2025-04-06T14:33:54Z",83.26,"machine-learning","true","true"
"optimatika/ojAlgo","https://github.com/optimatika/ojAlgo","ojAlgo","optimatika","oj! Algorithms - Open Source Java library for mathematics, linear algebra and optimisation. Pure Java, zero dependencies: fast matrices plus LP, QP and MIP solvers.","Java","MIT","MIT License","true",506,169,"2013-10-06T17:20:10Z","2026-09-25T23:06:47Z","2014-01-14T10:40:08Z","2026-09-25T15:31:40Z",152.34,"machine-learning","true","true"
"junxiaosong/AlphaZero_Gomoku","https://github.com/junxiaosong/AlphaZero_Gomoku","AlphaZero_Gomoku","junxiaosong","An implementation of the AlphaZero algorithm for Gomoku (also called Gobang or Five in a Row) ","Python","MIT","MIT License","true",3633,126,"2017-12-21T09:49:40Z","2026-09-22T10:59:19Z","2017-12-21T09:49:40Z","2024-04-24T00:40:39Z",76.07,"reinforcement-learning","true","true"
"PaddlePaddle/PARL","https://github.com/PaddlePaddle/PARL","PARL","PaddlePaddle","A high-performance distributed training framework for Reinforcement Learning ","Python","Apache-2.0","Apache License 2.0","true",3457,529,"2018-04-25T17:54:22Z","2026-09-14T06:36:48Z","2018-04-25T17:54:23Z","2025-09-13T06:29:18Z",88.62,"reinforcement-learning","true","true"
"Farama-Foundation/HighwayEnv","https://github.com/Farama-Foundation/HighwayEnv","HighwayEnv","Farama-Foundation","A collection of environments for autonomous driving and tactical decision-making tasks","Python","MIT","MIT License","true",3321,501,"2017-11-15T15:38:46Z","2026-09-25T07:38:01Z","2017-11-15T15:37:45Z","2026-09-12T19:41:05Z",105.89,"reinforcement-learning","true","true"
"tensorforce/tensorforce","https://github.com/tensorforce/tensorforce","tensorforce","tensorforce","Tensorforce: a TensorFlow library for applied reinforcement learning","Python","Apache-2.0","Apache License 2.0","true",3305,677,"2017-03-19T16:24:22Z","2026-09-14T07:18:11Z","2016-09-29T15:59:21Z","2026-07-14T05:34:30Z",117.43,"reinforcement-learning","true","true"
"flow-project/flow","https://github.com/flow-project/flow","flow","flow-project","Computational framework for reinforcement learning in traffic control","Python","MIT","MIT License","true",1190,491,"2017-08-24T00:36:03Z","2026-09-23T03:34:33Z","2016-09-16T21:19:47Z","2020-12-11T19:26:14Z",50.82,"reinforcement-learning","true","true"
"Kismuz/btgym","https://github.com/Kismuz/btgym","btgym","Kismuz","Scalable, event-driven, deep-learning-friendly backtesting library","Python","LGPL-3.0","GNU Lesser General Public License v3.0","true",1035,130,"2017-05-24T16:35:17Z","2026-09-14T20:48:50Z","2017-05-24T16:35:18Z","2021-08-28T22:13:14Z",51.16,"reinforcement-learning","true","true"
"eleurent/rl-agents","https://github.com/eleurent/rl-agents","rl-agents","eleurent","Implementations of Reinforcement Learning and Planning algorithms","Python","MIT","MIT License","true",729,103,"2017-06-05T20:53:59Z","2026-09-25T01:14:03Z","2017-06-02T19:30:44Z","2024-01-13T14:04:29Z",79.36,"reinforcement-learning","true","true"
"utilForever/RosettaStone","https://github.com/utilForever/RosettaStone","RosettaStone","utilForever","Hearthstone simulator using C++ with some reinforcement learning","C++","AGPL-3.0","GNU Affero General Public License v3.0","true",682,514,"2017-05-19T14:41:26Z","2026-09-18T06:10:16Z","2017-05-19T14:41:27Z","2026-08-04T10:23:51Z",110.51,"reinforcement-learning","true","true"
"BYU-PCCL/holodeck","https://github.com/BYU-PCCL/holodeck","holodeck","BYU-PCCL","High Fidelity Simulator for Reinforcement Learning and Robotics Research.","Python","MIT","MIT License","true",596,246,"2016-10-07T22:12:04Z","2026-09-24T17:41:53Z","2016-02-05T22:58:14Z","2021-04-30T02:11:03Z",62.75,"reinforcement-learning; computer-vision","true","true"
"realsenseai/librealsense","https://github.com/realsenseai/librealsense","librealsense","realsenseai","RealSense SDK","C++","Apache-2.0","Apache License 2.0","true",9040,10227,"2015-11-17T20:42:18Z","2026-09-25T16:00:43Z","2015-07-19T04:32:10Z","2026-08-30T10:44:52Z",133.39,"computer-vision","true","true"
"openMVG/openMVG","https://github.com/openMVG/openMVG","openMVG","openMVG","open Multiple View Geometry library. Basis for 3D computer vision and Structure from Motion.","C++","MPL-2.0","Mozilla Public License 2.0","true",6560,1946,"2013-02-08T16:01:08Z","2026-09-25T11:59:59Z","2013-02-08T16:21:30Z","2026-08-30T17:24:15Z",162.65,"computer-vision","true","true"
"AaronJackson/vrn","https://github.com/AaronJackson/vrn","vrn","AaronJackson",":man:  Code for ""Large Pose 3D Face Reconstruction from a Single Image via Direct Volumetric CNN Regression""","MATLAB","MIT","MIT License","true",4517,161,"2017-06-20T12:35:33Z","2026-09-08T04:59:16Z","2017-06-20T12:35:33Z","2021-09-07T19:15:46Z",50.6,"computer-vision","true","true"
"automeris-io/WebPlotDigitizer","https://github.com/automeris-io/WebPlotDigitizer","WebPlotDigitizer","automeris-io","Computer vision assisted tool to extract numerical data from plot images.","JavaScript","AGPL-3.0","GNU Affero General Public License v3.0","true",3166,282,"2010-09-25T16:20:49Z","2026-09-23T14:39:41Z","2010-09-25T16:27:45Z","2025-08-26T06:06:34Z",178.99,"computer-vision","true","true"
"sightmachine/SimpleCV","https://github.com/sightmachine/SimpleCV","SimpleCV","sightmachine","The Open Source Framework for Machine Vision","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",2731,327,"2011-08-16T18:04:07Z","2026-09-04T20:38:42Z","2010-11-02T15:46:02Z","2024-12-20T19:39:00Z",169.58,"computer-vision; image-processing","true","true"
"andrewssobral/bgslibrary","https://github.com/andrewssobral/bgslibrary","bgslibrary","andrewssobral","A C++ Background Subtraction Library with wrappers for Python, MATLAB, Java and GUI on QT","C++","MIT","MIT License","true",2278,186,"2014-02-16T21:35:54Z","2026-09-22T19:20:43Z","2014-02-16T21:35:54Z","2026-05-28T13:02:02Z",147.29,"computer-vision","true","true"
"MRPT/mrpt","https://github.com/MRPT/mrpt","mrpt","MRPT",":zap: The Mobile Robot Programming Toolkit (MRPT)","C++","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",2162,588,"2013-10-19T21:09:23Z","2026-09-25T17:01:47Z","2010-06-03T14:48:23Z","2026-09-25T17:01:38Z",195.73,"computer-vision","true","true"
"artivis/manif","https://github.com/artivis/manif","manif","artivis","A small C++11 header-only library for Lie theory.","C++","MIT","MIT License","true",1821,138,"2018-04-16T21:28:32Z","2026-09-25T17:32:31Z","2018-04-16T21:28:55Z","2025-11-01T17:54:32Z",90.53,"computer-vision","true","true"
"longcw/faster_rcnn_pytorch","https://github.com/longcw/faster_rcnn_pytorch","faster_rcnn_pytorch","longcw","Faster RCNN with PyTorch","Python","MIT","MIT License","true",1778,101,"2017-01-30T16:06:12Z","2026-09-23T12:58:01Z","2017-01-30T16:05:21Z","2021-09-25T16:46:09Z",55.82,"computer-vision","true","true"
"opendatacam/opendatacam","https://github.com/opendatacam/opendatacam","opendatacam","opendatacam","An open source tool to quantify the world","JavaScript","MIT","MIT License","true",1726,399,"2017-08-29T13:29:23Z","2026-09-25T17:16:22Z","2017-08-29T13:41:37Z","2023-11-30T21:58:24Z",75.04,"computer-vision","true","true"
"una-dinosauria/3d-pose-baseline","https://github.com/una-dinosauria/3d-pose-baseline","3d-pose-baseline","una-dinosauria","A simple baseline for 3d human pose estimation in tensorflow. Presented at ICCV 17.","Python","MIT","MIT License","true",1462,203,"2017-04-20T23:05:16Z","2026-09-23T06:24:18Z","2017-05-08T21:30:40Z","2020-09-26T01:50:20Z",40.61,"computer-vision","true","true"
"imagej/imagej2","https://github.com/imagej/imagej2","imagej2","imagej","Open scientific N-dimensional image processing :microscope: :sparkler:","Java","BSD-2-Clause","BSD 2-Clause ""Simplified"" License","true",1407,277,"2012-01-26T18:32:43Z","2026-09-23T19:57:08Z","2010-09-02T17:09:40Z","2026-08-07T14:51:47Z",191.13,"computer-vision; image-processing","true","true"
"lagadic/visp","https://github.com/lagadic/visp","visp","lagadic","Open Source Visual Servoing Platform","C++","GPL-2.0","GNU General Public License v2.0","true",922,503,"2015-09-15T05:51:50Z","2026-09-24T08:08:03Z","2005-06-08T07:08:17Z","2026-09-24T08:07:57Z",255.52,"computer-vision","true","true"
"bgshih/aster","https://github.com/bgshih/aster","aster","bgshih","Recognizing cropped text in natural images.","Python","MIT","MIT License","true",742,113,"2017-12-03T08:50:02Z","2026-09-24T17:43:07Z","2017-12-03T08:50:03Z","2021-03-28T05:48:25Z",39.78,"computer-vision","true","true"
"basler/pypylon","https://github.com/basler/pypylon","pypylon","basler","The official Python language binding for the Basler pylon C++ APIs ","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",714,841,"2018-03-05T14:35:19Z","2026-09-24T14:11:46Z","2018-03-23T10:50:29Z","2026-09-07T13:10:37Z",101.51,"computer-vision","true","true"
"cvondrick/vatic","https://github.com/cvondrick/vatic","vatic","cvondrick","Efficiently Scaling Up Video Annotation with Crowdsourced Marketplaces. IJCV 2012","HTML","MIT","MIT License","true",615,105,"2011-07-08T20:36:53Z","2026-08-19T09:18:24Z","2011-01-13T06:34:57Z","2020-07-15T20:01:57Z",114.05,"computer-vision","true","true"
"ocrmypdf/OCRmyPDF","https://github.com/ocrmypdf/OCRmyPDF","OCRmyPDF","ocrmypdf","OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched","Python","MPL-2.0","Mozilla Public License 2.0","true",34878,1373,"2013-12-20T08:26:28Z","2026-09-26T02:46:30Z","2013-04-09T16:44:46Z","2026-09-22T06:43:24Z",161.42,"image-processing","true","true"
"lovell/sharp","https://github.com/lovell/sharp","sharp","lovell","High performance Node.js image processing, the fastest module to resize JPEG, PNG, WebP, AVIF and TIFF images. Uses the libvips library.","JavaScript","Apache-2.0","Apache License 2.0","true",32718,4077,"2013-08-19T20:24:24Z","2026-09-26T01:25:28Z","2013-08-19T20:24:24Z","2026-09-24T15:05:21Z",157.15,"image-processing","true","true"
